app_id,app_name,platform,developer,category,initial_release_date,source_url,current_version,current_version_release_date,notes
instagram_ios,Instagram,iOS,"Instagram, Inc.",Photo & Video,2010-10-06,https://apps.apple.com/us/app/id389801252,428.2.0,2026-05-05,
instagram_android,Instagram,Android,Instagram,Social,2012-04-03,https://play.google.com/store/apps/details?id=com.instagram.android&hl=en&gl=us,Varies with device,2026-05-04,store current_version is 'Varies with device' on Play (multiple APK variants; no single semantic-version string comparable to iOS)
tiktok_ios,TikTok,iOS,TIKTOK PTE. LTD.,Entertainment,2014-04-02,https://apps.apple.com/us/app/id835599320,44.9.0,2026-04-27,
tiktok_android,TikTok,Android,TikTok Pte. Ltd.,Social,2015-07-09,https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically&hl=en&gl=us,Varies with device,2026-04-30,store current_version is 'Varies with device' on Play (multiple APK variants; no single semantic-version string comparable to iOS)
spotify_ios,Spotify,iOS,Spotify,Music,2011-07-14,https://apps.apple.com/us/app/id324684580,9.1.44,2026-04-29,
spotify_android,Spotify,Android,Spotify AB,Music & Audio,2014-05-27,https://play.google.com/store/apps/details?id=com.spotify.music&hl=en&gl=us,Varies with device,2026-05-04,store current_version is 'Varies with device' on Play (multiple APK variants; no single semantic-version string comparable to iOS)
netflix_ios,Netflix,iOS,"Netflix, Inc.",Entertainment,2010-04-01,https://apps.apple.com/us/app/id363590051,18.30.0,2026-05-04,
netflix_android,Netflix,Android,"Netflix, Inc.",Entertainment,2011-05-05,https://play.google.com/store/apps/details?id=com.netflix.mediaclient&hl=en&gl=us,Varies with device,2026-05-04,store current_version is 'Varies with device' on Play (multiple APK variants; no single semantic-version string comparable to iOS)
amazon_shopping_ios,Amazon Shopping,iOS,AMZN Mobile LLC,Shopping,2008-12-03,https://apps.apple.com/us/app/id297606951,27.9.0,2026-05-04,
amazon_shopping_android,Amazon Shopping,Android,Amazon Mobile LLC,Shopping,2014-12-10,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&hl=en&gl=us,32.9.0.100,2026-04-23,
uber_ios,Uber,iOS,"Uber Technologies, Inc.",Travel,2010-05-21,https://apps.apple.com/us/app/id368677368,3.720.10000,2026-05-04,
uber_android,Uber,Android,"Uber Technologies, Inc.",Maps & Navigation,2010-10-28,https://play.google.com/store/apps/details?id=com.ubercab&hl=en&gl=us,4.629.10001,2026-05-01,
doordash_ios,DoorDash,iOS,"DoorDash, Inc.",Food & Drink,2013-10-10,https://apps.apple.com/us/app/id719972451,8.17.2,2026-05-05,
doordash_android,DoorDash,Android,DoorDash,Food & Drink,2015-03-26,https://play.google.com/store/apps/details?id=com.dd.doordash&hl=en&gl=us,15.273.1,2026-05-04,
paypal_ios,PayPal,iOS,"PayPal, Inc.",Finance,2019-02-03,https://apps.apple.com/us/app/id283646709,8.106.0,2026-05-04,
paypal_android,PayPal,Android,PayPal Mobile,Finance,,https://play.google.com/store/apps/details?id=com.paypal.android.p2pmobile&hl=en&gl=us,8.105.1,2026-04-23,missing initial_release_date: google-play-scraper returned no parseable Play `released` field (can be substituted from iOS data as inference)
notion_ios,Notion,iOS,"Notion Labs, Incorporated",Productivity,2017-09-14,https://apps.apple.com/us/app/id1232780281,1.7.303,2026-05-05,
notion_android,Notion,Android,"Notion Labs, Inc.",Productivity,2018-06-05,https://play.google.com/store/apps/details?id=notion.id&hl=en&gl=us,0.6.3836,2026-05-04,
duolingo_ios,Duolingo,iOS,"Duolingo, Inc",Education,2012-11-13,https://apps.apple.com/us/app/id570060128,7.121.0,2026-05-05,
duolingo_android,Duolingo,Android,Duolingo,Education,2013-05-29,https://play.google.com/store/apps/details?id=com.duolingo&hl=en&gl=us,Varies with device,2026-05-04,store current_version is 'Varies with device' on Play (multiple APK variants; no single semantic-version string comparable to iOS)
